Idiom,WiktionaryURL,Pos,Neg,Neu,Inapprop.,Total,%Pos,%Neg,%Neu,sentiment,FilterOut(X),definition,idiom_id
day after day,https://en.wiktionary.org/wiki/day_after_day,0,0,10,0,10,0.0,0.0,1.0,other,,For an indefinite number of days.,852.0
day and age,https://en.wiktionary.org/wiki/day_and_age,0,0,10,0,10,0.0,0.0,1.0,other,,A time period of years or more.,853.0
day and night,https://en.wiktionary.org/wiki/day_and_night,0,0,10,0,10,0.0,0.0,1.0,other,,,854.0
"day in, day out","https://en.wiktionary.org/wiki/day_in,_day_out",0,1,9,0,10,0.0,0.1,0.9,other,,"Every day; daily; constantly or continuously (especially, of something that has become routine or monotonous).",855.0
day one,https://en.wiktionary.org/wiki/day_one,0,0,10,0,10,0.0,0.0,1.0,other,,,856.0
day or night,https://en.wiktionary.org/wiki/day_or_night,0,0,10,0,10,0.0,0.0,1.0,other,,At any time; 24/7,857.0
day out,https://en.wiktionary.org/wiki/day_out,0,0,10,0,10,0.0,0.0,1.0,other,,"An excursion, returning home on the same day.",858.0
day-to-day,https://en.wiktionary.org/wiki/day-to-day,1,0,9,0,10,0.1,0.0,0.9,other,,,859.0
daylight robbery,https://en.wiktionary.org/wiki/daylight_robbery,0,9,1,0,10,0.0,0.9,0.1,negative,,"daylight robbery (countable and uncountable, plural daylight robberies) (idiomatic, chiefly Britain, informal)",860.0
days of yore,https://en.wiktionary.org/wiki/days_of_yore,0,0,10,0,10,0.0,0.0,1.0,other,,The past; bygone days.,861.0
dead air,https://en.wiktionary.org/wiki/dead_air,0,7,3,0,10,0.0,0.7,0.3,negative,,An unintended interruption in a broadcast during which nothing is transmitted: a silent period on radio or a silent period with no picture on television. A quiet or awkward moment in a conversation where neither speaker is talking.,862.0
dead and buried,https://en.wiktionary.org/wiki/dead_and_buried,0,4,6,0,10,0.0,0.4,0.6,other,,"Of an issue, moot, passed, irrelevant, forgotten. Of a project or plan, wholly dispensed with; never to be completed or revived.",863.0
dead cat bounce,https://en.wiktionary.org/wiki/dead_cat_bounce,1,4,5,0,10,0.1,0.4,0.5,other,,A temporary recovery in the price of a financial instrument which has fallen rapidly and is expected to fall further in the long run.,864.0
dead center,https://en.wiktionary.org/wiki/dead_center,1,2,7,0,10,0.1,0.2,0.7,other,,The exact center.,865.0
dead duck,https://en.wiktionary.org/wiki/dead_duck,0,9,1,0,10,0.0,0.9,0.1,negative,,One who is in serious danger or trouble. A project that is doomed to failure from the start.,
dead end,https://en.wiktionary.org/wiki/dead_end,0,9,2,0,11,0.0,0.818,0.182,negative,,A street or path that goes nowhere or is blocked on one end.,
dead giveaway,https://en.wiktionary.org/wiki/dead_giveaway,0,4,6,0,10,0.0,0.4,0.6,other,,"Something that discloses, usually unintentionally, a fact or an intention.",866.0
dead heat,https://en.wiktionary.org/wiki/dead_heat,0,0,10,0,10,0.0,0.0,1.0,other,,a close race or contest in which no winner is apparent,867.0
dead in the water,https://en.wiktionary.org/wiki/dead_in_the_water,0,9,1,0,10,0.0,0.9,0.1,negative,,,868.0
dead last,https://en.wiktionary.org/wiki/dead_last,0,9,1,0,10,0.0,0.9,0.1,negative,,"Finishing in last place in a competition or ranking, often by a considerable margin to the next-to-last-place finisher or after an exceptionally poor showing or season.",869.0
dead meat,https://en.wiktionary.org/wiki/dead_meat,0,9,1,0,10,0.0,0.9,0.1,negative,,Someone in danger of being killed or severely punished.,870.0
dead men,https://en.wiktionary.org/wiki/dead_men,0,6,4,0,10,0.0,0.6,0.4,negative,,,
dead of night,https://en.wiktionary.org/wiki/dead_of_night,0,0,10,0,10,0.0,0.0,1.0,other,,Middle of the night.,871.0
dead on,https://en.wiktionary.org/wiki/dead_on,8,0,2,0,10,0.8,0.0,0.2,positive,X,exactly at,
dead ringer,https://en.wiktionary.org/wiki/dead_ringer,0,1,9,0,10,0.0,0.1,0.9,other,,Someone or something that very closely resembles another; someone or something easily mistaken for another.,
dead weight,https://en.wiktionary.org/wiki/dead_weight,0,8,2,0,10,0.0,0.8,0.2,negative,,,872.0
dead wood,https://en.wiktionary.org/wiki/dead_wood,0,9,1,0,10,0.0,0.9,0.1,negative,,Personnel no longer contributing to an organization.,873.0
deadbeat dad,https://en.wiktionary.org/wiki/deadbeat_dad,0,9,1,0,10,0.0,0.9,0.1,negative,,"A man, especially one who is divorced or estranged from his partner, who fails to provide monetary child support when he is legally required to do so.",874.0
deafening silence,https://en.wiktionary.org/wiki/deafening_silence,0,7,3,0,10,0.0,0.7,0.3,negative,,"A noteworthy silence, or absence of response, especially one signifying disapproval or lack of enthusiasm.",875.0
deal breaker,https://en.wiktionary.org/wiki/deal_breaker,0,10,0,0,10,0.0,1.0,0.0,negative,,to fail.,876.0
death knell,https://en.wiktionary.org/wiki/death_knell,0,7,3,0,10,0.0,0.7,0.3,negative,,A sign or omen foretelling the death or destruction of something.,877.0
death spiral,https://en.wiktionary.org/wiki/death_spiral,0,10,0,0,10,0.0,1.0,0.0,negative,,,878.0
debris field,https://en.wiktionary.org/wiki/debris_field,0,4,6,0,10,0.0,0.4,0.6,other,,"Any area, non-dependent of locale, space, or contour, that contains the debris of wreckage, impact, sinking, or other material that once constituted a complete object. Debris fields can be found at the site of air crashes, water vessel sinking, explosions of buildings, collapses, and other events that render a whole entity into components, pieces, or other non-whole items.",879.0
deep down,https://en.wiktionary.org/wiki/deep_down,0,0,10,0,10,0.0,0.0,1.0,other,,Fundamentally; in essence; in reality,880.0
deep end,https://en.wiktionary.org/wiki/deep_end,0,1,9,0,10,0.0,0.1,0.9,other,,A situation where expertise or experience is required.,881.0
deep pockets,https://en.wiktionary.org/wiki/deep_pockets,3,0,7,0,10,0.3,0.0,0.7,other,,"An ample supply of money, especially money which one is willing to spend; the possessor of such money.",
deep sleep,https://en.wiktionary.org/wiki/deep_sleep,0,0,10,0,10,0.0,0.0,1.0,other,,,882.0
deep thinker,https://en.wiktionary.org/wiki/deep_thinker,5,0,5,0,10,0.5,0.0,0.5,positive,,A person whose thoughts are profound; an intellectual.,
deep water,https://en.wiktionary.org/wiki/deep_water,0,6,4,0,10,0.0,0.6,0.4,negative,X,A difficult or embarrassing situation.,
deer in the headlights,https://en.wiktionary.org/wiki/deer_in_the_headlights,0,8,2,0,10,0.0,0.8,0.2,negative,,"A person in a mental state of high arousal caused by anxiety, fear, panic, surprise and/or confusion, or substance abuse. A person with a stunned or glazed expression.",883.0
definitive agreement,https://en.wiktionary.org/wiki/definitive_agreement,0,1,9,0,10,0.0,0.1,0.9,other,,,884.0
deliver the goods,https://en.wiktionary.org/wiki/deliver_the_goods,6,0,4,0,10,0.6,0.0,0.4,positive,,To do what was promised.,885.0
deputy first minister,https://en.wiktionary.org/wiki/deputy_first_minister,0,0,10,0,10,0.0,0.0,1.0,other,,,886.0
detective work,https://en.wiktionary.org/wiki/detective_work,0,0,10,0,10,0.0,0.0,1.0,other,,investigative research,
devil is in the details,https://en.wiktionary.org/wiki/devil_is_in_the_details,0,3,7,0,10,0.0,0.3,0.7,other,,"The specific provisions of, or particular steps for implementing, a general plan, policy, or contract may be complicated, controversial, or unworkable.",887.0
devil's advocate,https://en.wiktionary.org/wiki/devil's_advocate,0,4,6,0,10,0.0,0.4,0.6,other,,"One who debates from a viewpoint which he or she may not actually hold, usually to determine its validity or simply for the sake of argument.",888.0
dial back,https://en.wiktionary.org/wiki/dial_back,1,3,6,0,10,0.1,0.3,0.6,other,,To reduce (one's energy or intensity); to restrain (a feeling or action).,889.0
dial down,https://en.wiktionary.org/wiki/dial_down,0,4,6,0,10,0.0,0.4,0.6,other,,To reduce or diminish in effect or intensity.,
diamond in the rough,https://en.wiktionary.org/wiki/diamond_in_the_rough,5,0,5,0,10,0.5,0.0,0.5,positive,,,890.0
diamond ring,https://en.wiktionary.org/wiki/diamond_ring,1,0,9,0,10,0.1,0.0,0.9,other,,,891.0
die down,https://en.wiktionary.org/wiki/die_down,4,2,4,0,10,0.4,0.2,0.4,positive,,To become less virulent or strong; to subside.,892.0
die off,https://en.wiktionary.org/wiki/die_off,0,9,1,0,10,0.0,0.9,0.1,negative,,,893.0
die out,https://en.wiktionary.org/wiki/die_out,0,9,1,0,10,0.0,0.9,0.1,negative,,To become extinct. To cease gradually.,894.0
dig deep,https://en.wiktionary.org/wiki/dig_deep,5,0,5,0,10,0.5,0.0,0.5,positive,,To make a lot of effort with all one's resources.,895.0
dig in,https://en.wiktionary.org/wiki/dig_in,1,0,9,0,10,0.1,0.0,0.9,other,,To adopt a resolute state of mind.,896.0
dig in one's heels,https://en.wiktionary.org/wiki/dig_in_one's_heels,3,0,7,0,10,0.3,0.0,0.7,other,,"To act in a determined manner by firmly maintaining one's beliefs, demands, situation, etc. in the face of opposition.",897.0
dig up,https://en.wiktionary.org/wiki/dig_up,0,1,9,0,10,0.0,0.1,0.9,other,,to discover something by digging; to unearth,898.0
dig up dirt,https://en.wiktionary.org/wiki/dig_up_dirt,0,7,3,0,10,0.0,0.7,0.3,negative,,"To examine in order to find negative information for public opinion, usually with the purpose of embarrassing or discrediting a person.",899.0
dime a dozen,https://en.wiktionary.org/wiki/dime_a_dozen,0,5,5,0,10,0.0,0.5,0.5,negative,,So common as to be practically worthless.,900.0
diminishing returns,https://en.wiktionary.org/wiki/diminishing_returns,0,7,3,0,10,0.0,0.7,0.3,negative,,"A condition in which additional inputs into an organization, project or process produce progressively fewer or lower-quality additional outputs, and may, in extreme cases, cause the total quantity or quality of outputs to decrease.",901.0
dip into,https://en.wiktionary.org/wiki/dip_into,0,0,10,0,10,0.0,0.0,1.0,other,,To spend some of a source of money (such as one's savings). in a cursory or casual manner.,902.0
dirt-poor,https://en.wiktionary.org/wiki/dirt-poor,0,10,0,0,10,0.0,1.0,0.0,negative,,In a condition of extreme poverty.,903.0
dirty laundry,https://en.wiktionary.org/wiki/dirty_laundry,0,10,0,0,10,0.0,1.0,0.0,negative,,"Unflattering or embarrassing facts, or questionable activities that one wants to remain secret, but which someone else may use as blackmail.",904.0
dirty look,https://en.wiktionary.org/wiki/dirty_look,1,9,0,0,10,0.1,0.9,0.0,negative,,"An unpleasant or disdainful look or expression, often directed at someone.",
dirty money,https://en.wiktionary.org/wiki/dirty_money,0,10,0,0,10,0.0,1.0,0.0,negative,,"Money that is illegally gained, illegally transferred or illegally utilized, especially money gained through forgery, bribery, prostitution, money laundering, or theft.",905.0
dirty word,https://en.wiktionary.org/wiki/dirty_word,0,7,2,1,10,0.0,0.7,0.2,negative,,The name of a topic that a person does not like to hear or discuss.,906.0
dirty work,https://en.wiktionary.org/wiki/dirty_work,1,9,0,0,10,0.1,0.9,0.0,negative,,"One or more unpleasant tasks, assignments, or employment duties, especially those of a disreputable or illicit nature.",907.0
disagree with,https://en.wiktionary.org/wiki/disagree_with,0,10,0,0,10,0.0,1.0,0.0,negative,,,908.0
dismal science,https://en.wiktionary.org/wiki/dismal_science,0,4,6,0,10,0.0,0.4,0.6,other,,Economics or the field of political economy.,
dive in,https://en.wiktionary.org/wiki/dive_in,6,0,4,0,10,0.6,0.0,0.4,positive,,To start a new endeavor enthusiastically and wholeheartedly.,909.0
do a,https://en.wiktionary.org/wiki/do_a,0,0,10,0,10,0.0,0.0,1.0,other,,up to one; interested in; feel like,910.0
do away with,https://en.wiktionary.org/wiki/do_away_with,0,8,2,0,10,0.0,0.8,0.2,negative,X,To abolish; to put an end to; to eliminate. To have someone killed.,
do down,https://en.wiktionary.org/wiki/do_down,0,6,4,0,10,0.0,0.6,0.4,negative,,To belittle or intimidate,911.0
do drugs,https://en.wiktionary.org/wiki/do_drugs,0,7,3,0,10,0.0,0.7,0.3,negative,,"To abuse an illegal drug or drugs, especially as a result of chemical addiction.",912.0
do for,https://en.wiktionary.org/wiki/do_for,0,3,7,0,10,0.0,0.3,0.7,other,,,913.0
do in,https://en.wiktionary.org/wiki/do_in,0,5,5,0,10,0.0,0.5,0.5,negative,X,,
do it,https://en.wiktionary.org/wiki/do_it,0,0,10,0,10,0.0,0.0,1.0,other,,,914.0
do it tough,https://en.wiktionary.org/wiki/do_it_tough,0,8,2,0,10,0.0,0.8,0.2,negative,,To be in a desperate situation; to struggle.,915.0
do justice,https://en.wiktionary.org/wiki/do_justice,7,0,3,0,10,0.7,0.0,0.3,positive,,To allow to be apprehended in its full scope. To enjoy to the full.,916.0
do one,https://en.wiktionary.org/wiki/do_one,0,1,9,0,10,0.0,0.1,0.9,other,,,917.0
do one's bit,https://en.wiktionary.org/wiki/do_one's_bit,7,0,3,0,10,0.7,0.0,0.3,positive,,,918.0
do one's business,https://en.wiktionary.org/wiki/do_one's_business,1,2,6,1,10,0.1,0.2,0.6,other,,To defecate or urinate.,919.0
do one's thing,https://en.wiktionary.org/wiki/do_one's_thing,5,0,5,0,10,0.5,0.0,0.5,positive,,,920.0
do right by,https://en.wiktionary.org/wiki/do_right_by,7,0,3,0,10,0.7,0.0,0.3,positive,,"in a morally just, socially honorable fashion.",921.0
do someone proud,https://en.wiktionary.org/wiki/do_someone_proud,9,0,1,0,10,0.9,0.0,0.1,positive,,,922.0
do the deed,https://en.wiktionary.org/wiki/do_the_deed,0,1,7,2,10,0.0,0.1,0.7,other,,,923.0
do the hard yards,https://en.wiktionary.org/wiki/do_the_hard_yards,0,3,7,0,10,0.0,0.3,0.7,other,,,924.0
do the honors,https://en.wiktionary.org/wiki/do_the_honors,3,0,7,0,10,0.3,0.0,0.7,other,,To act as a host to guests. To perform a duty.,925.0
do the honours,https://en.wiktionary.org/wiki/do_the_honours,4,0,6,0,10,0.4,0.0,0.6,other,,,926.0
do the math,https://en.wiktionary.org/wiki/do_the_math,0,0,10,0,10,0.0,0.0,1.0,other,,"To determine the explanation for or precise nature of a situation, such as the motive underlying someone's behavior, based on available facts.",927.0
do the right thing,https://en.wiktionary.org/wiki/do_the_right_thing,10,0,0,0,10,1.0,0.0,0.0,positive,,,
do the trick,https://en.wiktionary.org/wiki/do_the_trick,10,0,0,0,10,1.0,0.0,0.0,positive,,,928.0
do up,https://en.wiktionary.org/wiki/do_up,0,0,10,0,10,0.0,0.0,1.0,other,,"To fasten (a piece of clothing, etc.); to tighten (a nut etc.) To redecorate (a room, etc.); to make improvements to a home or domestic property. To execute a task or performance. To pack together and envelop; to pack up.",929.0
do want,https://en.wiktionary.org/wiki/do_want,0,0,10,0,10,0.0,0.0,1.0,other,,,930.0
do well,https://en.wiktionary.org/wiki/do_well,9,0,1,0,10,0.9,0.0,0.1,positive,,,931.0
do what,https://en.wiktionary.org/wiki/do_what,0,0,10,0,10,0.0,0.0,1.0,other,,"An intensified version of what? or huh?, expressing surprise or lack of comprehension",932.0
do without,https://en.wiktionary.org/wiki/do_without,0,2,8,0,10,0.0,0.2,0.8,other,,,933.0
do-or-die,https://en.wiktionary.org/wiki/do-or-die,2,3,5,0,10,0.2,0.3,0.5,other,,Requiring a determined or desperate effort to avoid the consequences of failure.,934.0
dog and cat,https://en.wiktionary.org/wiki/dog_and_cat,0,0,10,0,10,0.0,0.0,1.0,other,,"A team comprising one male and one female, either working as associates or having one as the second-in-command to the other.",935.0
dog and pony show,https://en.wiktionary.org/wiki/dog_and_pony_show,0,6,4,0,10,0.0,0.6,0.4,negative,,Any presentation or display that is overly contrived or intricate.,936.0
dog around,https://en.wiktionary.org/wiki/dog_around,3,0,7,0,10,0.3,0.0,0.7,other,,To follow diligently.,937.0
dog eat dog,https://en.wiktionary.org/wiki/dog_eat_dog,2,5,3,0,10,0.2,0.5,0.3,negative,,,938.0
dog it,https://en.wiktionary.org/wiki/dog_it,0,8,2,0,10,0.0,0.8,0.2,negative,,,939.0
dog's breakfast,https://en.wiktionary.org/wiki/dog's_breakfast,0,7,3,0,10,0.0,0.7,0.3,negative,,An unappealing mixture; a disorderly situation; a mess.,940.0
dog's life,https://en.wiktionary.org/wiki/dog's_life,1,8,1,0,10,0.1,0.8,0.1,negative,,"A miserable, wretched existence. A life of indolence where the individual may do as he or she pleases, just like a pampered dog.",941.0
dole out,https://en.wiktionary.org/wiki/dole_out,1,0,9,0,10,0.1,0.0,0.9,other,,To distribute in apportioned amounts.,
don't get me started,https://en.wiktionary.org/wiki/don't_get_me_started,0,2,8,0,10,0.0,0.2,0.8,other,,Used to attempt to avoid or abbreviate a discussion that speaker or hearer may wish to avoid.,942.0
don't go there,https://en.wiktionary.org/wiki/don't_go_there,0,3,7,0,10,0.0,0.3,0.7,other,,Do not broach that topic.,
don't hold your breath,https://en.wiktionary.org/wiki/don't_hold_your_breath,1,2,7,0,10,0.1,0.2,0.7,other,,Don't wait. Said cynically to suggest that what has just been mentioned is unlikely to happen soon or at all.,943.0
don't tell me,https://en.wiktionary.org/wiki/don't_tell_me,0,0,10,0,10,0.0,0.0,1.0,other,,"Used to introduce a guess at a fact or situation, as if forestalling the other speaker's utterance.",944.0
done and done,https://en.wiktionary.org/wiki/done_and_done,5,0,5,0,10,0.5,0.0,0.5,positive,,,945.0
done and dusted,https://en.wiktionary.org/wiki/done_and_dusted,7,0,3,0,10,0.7,0.0,0.3,positive,,Completed thoroughly and satisfactorily.,946.0
done deal,https://en.wiktionary.org/wiki/done_deal,7,0,3,0,10,0.7,0.0,0.3,positive,,An agreement that has been finally resolved or decided.,947.0
donkey work,https://en.wiktionary.org/wiki/donkey_work,0,8,2,0,10,0.0,0.8,0.2,negative,,"Hard, boring, routine work.",948.0
donkey's years,https://en.wiktionary.org/wiki/donkey's_years,0,2,8,0,10,0.0,0.2,0.8,other,,"A long time, years and years.",
doom and gloom,https://en.wiktionary.org/wiki/doom_and_gloom,0,7,3,0,10,0.0,0.7,0.3,negative,,,949.0
double back,https://en.wiktionary.org/wiki/double_back,0,0,10,0,10,0.0,0.0,1.0,other,,To retrace one's steps; to go back where one has already gone.,
double booked,https://en.wiktionary.org/wiki/double_booked,0,0,10,0,10,0.0,0.0,1.0,other,,"Of a single resource, reserved for two different users at the same time.",950.0
double down,https://en.wiktionary.org/wiki/double_down,0,1,9,0,10,0.0,0.1,0.9,other,,,
double entendre,https://en.wiktionary.org/wiki/double_entendre,0,0,10,0,10,0.0,0.0,1.0,other,,,951.0
double over,https://en.wiktionary.org/wiki/double_over,0,0,10,0,10,0.0,0.0,1.0,other,,To bend over at the waist.,952.0
double talk,https://en.wiktionary.org/wiki/double_talk,0,7,3,0,10,0.0,0.7,0.3,negative,,,
double tap,https://en.wiktionary.org/wiki/double_tap,0,0,10,0,10,0.0,0.0,1.0,other,,A tactical shooting technique of pulling the trigger of a weapon twice in quick succession to deliver two shots to the same target zone.,953.0
double-edged sword,https://en.wiktionary.org/wiki/double-edged_sword,0,1,9,0,10,0.0,0.1,0.9,other,,,954.0
down and out,https://en.wiktionary.org/wiki/down_and_out,0,10,0,0,10,0.0,1.0,0.0,negative,,"In a condition of poverty or debility, especially as a result of experiencing a financial or personal setback.",955.0
down at heel,https://en.wiktionary.org/wiki/down_at_heel,0,9,1,0,10,0.0,0.9,0.1,negative,,"Shabbily dressed, slovenly; impoverished; shabby, dilapidated.",956.0
down for the count,https://en.wiktionary.org/wiki/down_for_the_count,0,8,2,0,10,0.0,0.8,0.2,negative,,Decisively beaten; defeated; rendered irrelevant for the long term.,957.0
down in the dumps,https://en.wiktionary.org/wiki/down_in_the_dumps,0,10,0,0,10,0.0,1.0,0.0,negative,,Sad; lacking engagement or enthusiasm.,958.0
down on one's luck,https://en.wiktionary.org/wiki/down_on_one's_luck,0,10,0,0,10,0.0,1.0,0.0,negative,,"Unlucky or undergoing a period of bad luck, especially with respect to financial matters.",959.0
down pat,https://en.wiktionary.org/wiki/down_pat,6,0,4,0,10,0.6,0.0,0.4,positive,,"Thoroughly practiced, rehearsed, or understood; mastered.",
down the drain,https://en.wiktionary.org/wiki/down_the_drain,0,10,1,0,11,0.0,0.909,0.091,negative,,wasted or irretrievable.,960.0
down the line,https://en.wiktionary.org/wiki/down_the_line,1,0,9,0,10,0.1,0.0,0.9,other,,"Further along, in terms of time or progress.",961.0
down the pan,https://en.wiktionary.org/wiki/down_the_pan,0,7,3,0,10,0.0,0.7,0.3,negative,,Synonym of down the toilet: wasted; irretrievable.,
down the road,https://en.wiktionary.org/wiki/down_the_road,1,1,8,0,10,0.1,0.1,0.8,other,,"Further along, in terms of time or progress.",962.0
down the toilet,https://en.wiktionary.org/wiki/down_the_toilet,0,10,0,0,10,0.0,1.0,0.0,negative,,"Into a state of collapse or failure: wasted, squandered; irretrievable. Finnish: kankkulan kaivoon (idiomatic)",963.0
down the track,https://en.wiktionary.org/wiki/down_the_track,0,1,9,0,10,0.0,0.1,0.9,other,,"Further along, in terms of time or progress.",964.0
down the tubes,https://en.wiktionary.org/wiki/down_the_tubes,0,8,2,0,10,0.0,0.8,0.2,negative,,Synonym of down the toilet: wasted; irretrievable.,965.0
down to a fine art,https://en.wiktionary.org/wiki/down_to_a_fine_art,8,0,2,0,10,0.8,0.0,0.2,positive,,To a point of exceptional proficiency.,966.0
down to the wire,https://en.wiktionary.org/wiki/down_to_the_wire,0,2,8,0,10,0.0,0.2,0.8,other,,"At the very end of a process or project, especially one with a fast-approaching deadline. At the very end of a process or project, especially one with a fast-approaching deadline.",967.0
down under,https://en.wiktionary.org/wiki/down_under,0,2,8,0,10,0.0,0.2,0.8,other,,In Australia. Into Australia; to Australia.,968.0
down-to-earth,https://en.wiktionary.org/wiki/down-to-earth,4,1,5,0,10,0.4,0.1,0.5,other,,Practical; realistic; pragmatic. Ordinary; normal; run-of-the-mill.,969.0
drag on,https://en.wiktionary.org/wiki/drag_on,0,4,6,0,10,0.0,0.4,0.6,other,,to last too long,970.0
drag one's feet,https://en.wiktionary.org/wiki/drag_one's_feet,0,6,4,0,10,0.0,0.6,0.4,negative,,"To procrastinate, put off; to dawdle, avoid, or make progress slowly and reluctantly. To intentionally stall, to delay, to obstruct. long finger (idiomatic, Ireland)",971.0
drag out,https://en.wiktionary.org/wiki/drag_out,0,3,7,0,10,0.0,0.3,0.7,other,,,972.0
drama queen,https://en.wiktionary.org/wiki/drama_queen,0,4,6,0,10,0.0,0.4,0.6,other,,An overly or exaggeratedly dramatic person.,973.0
draw a line,https://en.wiktionary.org/wiki/draw_a_line,0,0,10,0,10,0.0,0.0,1.0,other,,To delimit a boundary or border.,974.0
draw a line in the sand,https://en.wiktionary.org/wiki/draw_a_line_in_the_sand,0,0,10,0,10,0.0,0.0,1.0,other,,"To create a real or artificial boundary or distinction between (two places, people or things). response.",975.0
draw away,https://en.wiktionary.org/wiki/draw_away,0,2,8,0,10,0.0,0.2,0.8,other,,,
draw back,https://en.wiktionary.org/wiki/draw_back,0,4,6,0,10,0.0,0.4,0.6,other,,,976.0
draw down,https://en.wiktionary.org/wiki/draw_down,1,3,6,0,10,0.1,0.3,0.6,other,,,977.0
draw even,https://en.wiktionary.org/wiki/draw_even,0,0,10,0,10,0.0,0.0,1.0,other,,To attain the same level as a competitor.,978.0
draw in,https://en.wiktionary.org/wiki/draw_in,5,0,5,0,10,0.5,0.0,0.5,positive,X,To attract. involved. To approach. To become dark earlier as a result of seasonal change.,
draw off,https://en.wiktionary.org/wiki/draw_off,0,1,9,0,10,0.0,0.1,0.9,other,,To remove by using a siphon.,979.0
draw the line,https://en.wiktionary.org/wiki/draw_the_line,0,0,9,0,10,0.0,0.0,0.9,other,,"To set a boundary, rule, or limit, especially on what one will tolerate.",980.0
drawing card,https://en.wiktionary.org/wiki/drawing_card,2,0,8,0,10,0.2,0.0,0.8,other,,Synonym of drawcard (“something that attracts patronage to a place or an event”),981.0
dream house,https://en.wiktionary.org/wiki/dream_house,8,0,2,0,10,0.8,0.0,0.2,positive,,,982.0
dredge up,https://en.wiktionary.org/wiki/dredge_up,0,4,6,0,10,0.0,0.4,0.6,other,,,983.0
dress down,https://en.wiktionary.org/wiki/dress_down,0,7,3,0,10,0.0,0.7,0.3,negative,,To scold.,984.0
dressed to the nines,https://en.wiktionary.org/wiki/dressed_to_the_nines,7,0,3,0,10,0.7,0.0,0.3,positive,,Very fancily or formally dressed; wearing very showy or splendid clothing.,985.0
dressing-down,https://en.wiktionary.org/wiki/dressing-down,0,6,4,0,10,0.0,0.6,0.4,negative,,"A reprimand or rarely, a thrashing.",986.0
dribs and drabs,https://en.wiktionary.org/wiki/dribs_and_drabs,0,2,8,0,10,0.0,0.2,0.8,other,,,987.0
drift apart,https://en.wiktionary.org/wiki/drift_apart,0,8,2,0,10,0.0,0.8,0.2,negative,,"To lose contact, to lose one's friendship or closeness.",988.0
drift off,https://en.wiktionary.org/wiki/drift_off,0,5,5,0,10,0.0,0.5,0.5,negative,,To fall asleep slowly. To lose concentration.,989.0
drill down,https://en.wiktionary.org/wiki/drill_down,1,1,8,0,10,0.1,0.1,0.8,other,,"to examine information at another level or in greater detail; especially in a database, to navigate to a more detailed level or record",990.0
drill rig,https://en.wiktionary.org/wiki/drill_rig,0,0,10,0,10,0.0,0.0,1.0,other,,,991.0
drilling rig,https://en.wiktionary.org/wiki/drilling_rig,0,0,10,0,10,0.0,0.0,1.0,other,,,992.0
drinking age,https://en.wiktionary.org/wiki/drinking_age,0,0,10,0,10,0.0,0.0,1.0,other,,,993.0
drive away,https://en.wiktionary.org/wiki/drive_away,0,3,7,0,10,0.0,0.3,0.7,other,,To force someone or something to leave,
drive home,https://en.wiktionary.org/wiki/drive_home,2,0,8,0,10,0.2,0.0,0.8,other,,,994.0
drive off,https://en.wiktionary.org/wiki/drive_off,0,3,7,0,10,0.0,0.3,0.7,other,,To force to leave or go away.,995.0
drive out,https://en.wiktionary.org/wiki/drive_out,0,4,6,0,10,0.0,0.4,0.6,other,,out of somewhere,996.0
drive someone crazy,https://en.wiktionary.org/wiki/drive_someone_crazy,0,9,1,0,10,0.0,0.9,0.1,negative,,To annoy or irritate. To cause to be infatuated.,997.0
drop anchor,https://en.wiktionary.org/wiki/drop_anchor,0,1,9,0,10,0.0,0.1,0.9,other,,,998.0
drop in,https://en.wiktionary.org/wiki/drop_in,0,0,10,0,10,0.0,0.0,1.0,other,,"To arrive casually and unannounced, with little or no warning; also, to visit without an appointment.",999.0
drop in the bucket,https://en.wiktionary.org/wiki/drop_in_the_bucket,0,4,6,0,10,0.0,0.4,0.6,other,,"Something of little importance, especially an inconsequential effort or action as compared to a huge problem.",1000.0
drop in the ocean,https://en.wiktionary.org/wiki/drop_in_the_ocean,0,4,6,0,10,0.0,0.4,0.6,other,,A very small or insignificant amount; something of little importance.,1001.0
drop off,https://en.wiktionary.org/wiki/drop_off,0,0,9,1,10,0.0,0.0,0.9,other,,To fall asleep. To deliver; to deposit or leave; to allow passengers to alight.,1002.0
drop out,https://en.wiktionary.org/wiki/drop_out,0,6,4,0,10,0.0,0.6,0.4,negative,,prematurely and voluntarily.,1003.0
drop the ball,https://en.wiktionary.org/wiki/drop_the_ball,0,10,0,0,10,0.0,1.0,0.0,negative,,"To fail in one's responsibilities or duties, or to make a mistake, especially at a critical point or when the result is very negative.",1004.0
drown out,https://en.wiktionary.org/wiki/drown_out,0,6,4,0,10,0.0,0.6,0.4,negative,,"To cover, obscure, or overwhelm by being louder or more intense than.",1005.0
drug deal,https://en.wiktionary.org/wiki/drug_deal,0,9,1,0,10,0.0,0.9,0.1,negative,,,1006.0
drug of choice,https://en.wiktionary.org/wiki/drug_of_choice,0,2,8,0,10,0.0,0.2,0.8,other,,,1007.0
drum up,https://en.wiktionary.org/wiki/drum_up,8,0,2,0,10,0.8,0.0,0.2,positive,,To generate or encourage; to campaign for.,1008.0
dry eye,https://en.wiktionary.org/wiki/dry_eye,1,5,4,0,10,0.1,0.5,0.4,negative,,"An eye which is not crying, i.e. someone emotionally unmoved.",1009.0
dry out,https://en.wiktionary.org/wiki/dry_out,0,2,8,0,10,0.0,0.2,0.8,other,,sober up; to cease to be drunk; to quit using drugs or alcohol.,1010.0
